Crab,Group,Treatment,8/20/2018,8/21/2018,8/22/2018,8/23/2018,8/24/2018,8/25/2018,8/26/2018,8/27/2018,8/28/2018,8/29/2018,8/30/2018,8/31/2018,9/1/2018,9/2/2018,9/3/2018,9/4/2018,9/5/2018,9/6/2018,9/7/2018,9/8/2018,9/9/2018,9/10/2018,9/11/2018,9/12/2018,9/13/2018,9/14/2018,9/15/2018,9/16/2018,9/17/2018,9/18/2018,9/19/2018,9/20/2018,9/21/2018,9/22/2018,9/23/2018,9/24/2018,9/25/2018,9/26/2018,9/27/2018,9/28/2018,9/29/2018,9/30/2018,10/1/2018,10/2/2018,10/3/2018,10/4/2018,10/5/2018,10/6/2018,10/7/2018,10/8/2018,10/9/2018,10/10/2018,10/11/2018,10/12/2018,10/13/2018,10/14/2018,10/15/2018,10/16/2018,10/17/2018,10/18/2018,10/19/2018,10/20/2018,10/21/2018,10/22/2018,10/23/2018,10/24/2018,10/25/2018,10/26/2018,10/27/2018,10/28/2018,10/29/2018,10/30/2018,10/31/2018,11/1/2018,11/2/2018,11/3/2018,11/4/2018,11/5/2018,11/6/2018,11/7/2018,11/8/2018,11/9/2018,11/10/2018,11/11/2018,11/12/2018,11/13/2018,11/14/2018,11/15/2018,11/16/2018,11/17/2018,11/18/2018,11/19/2018,11/20/2018,11/21/2018,11/22/2018,11/23/2018,11/24/2018,11/25/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/1/2018,12/2/2018,12/3/2018,12/4/2018,12/5/2018,12/6/2018,12/7/2018,12/8/2018,12/9/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/15/2018,12/16/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/23/2018,12/24/2018,12/25/2018,12/26/2018,12/27/2018,12/28/2018,12/29/2018,12/30/2018,12/31/2018,1/1/2019,1/2/2019,1/3/2019,1/4/2019,1/5/2019,1/6/2019,1/7/2019,1/8/2019,1/9/2019,1/10/2019,1/11/2019,1/12/2019,1/13/2019,1/14/2019,1/15/2019,1/16/2019,1/17/2019,1/18/2019,1/19/2019,1/20/2019,1/21/2019,1/22/2019,1/23/2019,1/24/2019,1/25/2019,1/26/2019,1/27/2019,1/28/2019,1/29/2019,1/30/2019,1/31/2019,2/1/2019,2/2/2019,2/3/2019,2/4/2019,2/5/2019,2/6/2019,2/7/2019,2/8/2019,2/9/2019,2/10/2019,2/11/2019,2/12/2019,2/13/2019,2/14/2019,2/15/2019,2/16/2019,2/17/2019,2/18/2019,2/19/2019,2/20/2019,2/21/2019,2/22/2019,2/23/2019,2/24/2019,2/25/2019,2/26/2019,2/27/2019,2/28/2019,3/1/2019,3/2/2019,3/3/2019,3/4/2019,3/5/2019,3/6/2019,3/7/2019,3/8/2019,3/9/2019,3/10/2019,3/11/2019,3/12/2019,3/13/2019,3/14/2019,3/15/2019,3/16/2019,3/17/2019,3/18/2019,3/19/2019,3/20/2019,3/21/2019,3/22/2019,3/23/2019,3/24/2019,3/25/2019,3/26/2019,3/27/2019,3/28/2019,3/29/2019,3/30/2019,3/31/2019,4/1/2019,4/2/2019,4/3/2019,4/4/2019,4/5/2019,4/6/2019,4/7/2019,4/8/2019,4/9/2019,4/10/2019,4/11/2019,4/12/2019,4/13/2019,4/15/2019,4/16/2019,4/17/2019,4/18/2019,4/19/2019,4/20/2019,4/21/2019,4/22/2019,4/23/2019,4/24/2019,4/25/2019,4/26/2019,4/27/2019,4/28/2019,4/29/2019,4/30/2019,5/1/2019,5/2/2019,5/3/2019,5/4/2019,5/5/2019,5/6/2019,5/7/2019,5/8/2019,5/9/2019,5/10/2019,5/11/2019,5/12/2019,5/13/2019,5/14/2019,5/15/2019,5/16/2019,5/17/2019,5/18/2019,5/19/2019,5/20/2019,5/21/2019,5/22/2019,5/23/2019,5/24/2019,5/25/2019,5/26/2019,5/27/2019,5/28/2019,5/29/2019,5/30/2019,5/31/2019,6/1/2019,6/2/2019,6/3/2019,6/4/2019,6/5/2019,6/6/2019,6/7/2019,6/8/2019,6/9/2019,6/10/2019,6/11/2019,6/12/2019,6/13/2019,6/14/2019,6/15/2019,6/16/2019,6/17/2019,6/18/2019,6/19/2019,6/20/2019,6/21/2019,6/22/2019,6/23/2019,6/24/2019,6/25/2019,6/26/2019,6/27/2019,6/28/2019,6/29/2019,6/30/2019,7/1/2019,7/2/2019,7/3/2019,7/4/2019,7/5/2019,7/6/2019,7/7/2019,7/8/2019,7/9/2019,7/10/2019
CH03_19,LB,Low CO2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,C,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH03_23,LB,Low CO2,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH03_24,LB,Low CO2,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,G,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH03_25,LB,Low CO2,----,J1,J1,J1,J1,J1,J1,G,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH03_30,LB,Low CO2,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH03_33,LB,Low CO2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6
CH03_34,LB,Low CO2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_2,LB,Low CO2,----,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,D/C,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_7,LB,Low CO2,----,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_12,LB,Low CO2,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_16,LB,Low CO2,----,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,J6,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_18,LB,Low CO2,----,----,----,----,----,----,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_19,LB,Low CO2,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,C,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
CH07_23,LB,Low CO2,----,----,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J4,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,J5,D,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
